id,name,desc,type,q
Jonathan-Azulay_755,Jonathan Azulay,"Karl Levi Jonathan Azulay (born 1993-05-05) IFK Göteborg player, last season 2014",Q5,Q4125064
Nikolai-Baden_993,Nikolai Baden,"Nikolai Baden Frederiksen (born 2000-05-18) attacker in IFK Göteborg, last season 2024",Q5,Q43801944
Jonas-Bager_988,Jonas Bager,Jonas Valentin Bager (born 1996-07-18) IFK Göteborg player stated in ifkdb.se,Q5,Q23772459
Ulf-Bång+(Johansson)_356,Ulf Bång,"Ulf Mikael Bång (born 1967-03-08) midfielder in IFK Göteborg, last season 1991",Q5,Q132442714
Johan-Bångsbo_944,Johan Bångsbo,"Mats Johan Edward Bångsbo (born 2003-02-10) IFK Göteborg player, last season 2024",Q5,Q112036884
Nicklas-Bärkroth_765,Nicklas Bärkroth,"Nicklas Robert Bärkroth (born 1992-01-19) attacker in IFK Göteborg, last season 2012",Q5,Q940818
Stefan-Bärlin_135,Stefan Bärlin,"Stefan Arne Bärlin (born 1976-05-31) midfielder in IFK Göteborg, last season 1999",Q5,Q505895
Elis-Barlind_983,Elis Barlind,Elis Emanuel Barlind (born 2007-01-05) IFK Göteborg player stated in ifkdb.se,Q5,
Junes-Barny_902,Junes Barny,"Junes Barny (born 1989-11-04) midfielder in IFK Göteborg, last season 2019",Q5,Q16945082
Lee-Baxter_756,Lee Baxter,"Lee Stuart Baxter (born 1976-06-17) goalkeeper in IFK Göteborg, last season 2004",Q5,Q128845
Jan-Bender_90,Jan Bender,"Jan Erik Bender (born 1947-06-10) defender in IFK Göteborg, last season 1972",Q5,
Adam+Ingi-Benediktsson_937,Adam Ingi Benediktsson,"Adam Ingi Benediktsson (born 2002-10-28) goalkeeper in IFK Göteborg, last season 2024",Q5,Q109819079
Åke-Bengtsson_95,Åke Bengtsson,Jan Åke Bengtsson (born 1940-03-31) IFK Göteborg player stated in ifkdb.se,Q5,Q138548544
Algot-Bengtsson_91,Algot Bengtsson,Algot Sigfrid Bengtsson (born 1900-09-16) IFK Göteborg player stated in ifkdb.se,Q5,Q121160719
Patrik-Bengtsson_93,Patrik Bengtsson,"Jan Patrik Bengtsson (born 1971-03-09) attacker in IFK Göteborg, last season 1995",Q5,Q101664653
Sture-Bengtsson_94,Sture Bengtsson,Sture Vilhelm Bengtsson (born 1936-11-22) IFK Göteborg player stated in ifkdb.se,Q5,
Holger-Bennhov+(Bengtsson)_92,Holger Bennhov,Bror Holger Bennhov (born 1912-11-03) IFK Göteborg player stated in ifkdb.se,Q5,Q126880260
Lion-Beqiri_980,Lion Beqiri,"Lion Beqiri (born 2006-05-27) attacker in IFK Göteborg, last season 2024",Q5,Q125270101
Bror-Berg_97,Bror Berg,Bror David Berg (born 1917-02-28) IFK Göteborg player stated in ifkdb.se,Q5,Q121160720
Fritz-Berg_98,Fritz Berg,Fritz Gustaf Berg (born 1909-11-03) IFK Göteborg player stated in ifkdb.se,Q5,Q101112475
Jonatan-Berg_758,Jonatan Berg,"Anders Kenneth Jonatan Berg (born 1985-05-09) attacker in IFK Göteborg, last season 2008",Q5,Q768352
Kent-Berg_99,Kent Berg,"Kent Owe Berg (born 1936-06-04) defender in IFK Göteborg, last season 1960",Q5,
Marcus-Berg_757,Marcus Berg,"Bengt Erik Markus Berg (born 1986-08-17) attacker in IFK Göteborg, last season 2023",Q5,Q311910
Harry-Bergelin_102,Harry Bergelin,John Harry Bergelin (born 1890-07-03) IFK Göteborg player stated in ifkdb.se,Q5,Q121160721
Hans-Bergendahl_100,Hans Bergendahl,"Hans Magnus Bergendahl (born 1954-01-01) goalkeeper in IFK Göteborg, last season 1972",Q5,
Fred-Berglin_908,Fred Berglin,"Fred Erik Berglin (born 2000-07-19) IFK Göteborg player, last season 2019",Q5,
Olof-Berglund_103,Olof Berglund,Lars Olof Berglund (born 1947-09-17) IFK Göteborg player stated in ifkdb.se,Q5,
Evert-Bergman_104,Evert Bergman,Gösta Evert Bergman (born 1909-12-02) IFK Göteborg player stated in ifkdb.se,Q5,
Jakob-Bergman_861,Jakob Bergman,"Karl Jakob Lennart Bergman (born 1996-01-02) defender in IFK Göteborg, last season 2015",Q5,Q26211825
Uno-Bergman_105,Uno Bergman,Uno Morgan Bergman (born 1911-11-18) IFK Göteborg player stated in ifkdb.se,Q5,Q121160722
Adam-Bergmark+Wiberg_1013,Wiberg Adam Bergmark,Carl Adam Bergmark Wiberg (born 1997-05-07) IFK Göteborg player stated in ifkdb.se,Q5,Q37012842
Erik-Bergqvist_101,Erik Bergqvist,Sven Erik Gustav Bergqvist (born 1922-03-05) IFK Göteborg player stated in ifkdb.se,Q5,Q120963096
Algot-Bergström_106,Algot Bergström,Algot Natanael Bergström (born 1909-12-23) IFK Göteborg player stated in ifkdb.se,Q5,Q121160723
Erik-Bergström_109,Erik Bergström,Johan Erik Vitalis Eugén Bergström (born 1886-01-06) IFK Göteborg player stated in ifkdb.se,Q5,Q1353833
Henrik-Bergström_107,Henrik Bergström,Johan Henrik Froster Bergström (born 1889-01-19) IFK Göteborg player stated in ifkdb.se,Q5,Q124414097
Ralph-Bergström_108,Ralph Bergström,Ralph Edor Bergström (born 1946-02-19) IFK Göteborg player stated in ifkdb.se,Q5,
Bengt-Berndtsson_110,Bengt Berndtsson,Bengt Ryno Berndtsson (born 1933-01-26) IFK Göteborg player stated in ifkdb.se,Q5,Q817210
Elis-Berndtsson_111,Elis Berndtsson,Elis Leonard Berndtsson (born 1902-06-30) IFK Göteborg player stated in ifkdb.se,Q5,Q121160724
Harry-Berndtsson_112,Harry Berndtsson,Oskar Harry Berndtsson (born 1906-02-11) IFK Göteborg player stated in ifkdb.se,Q5,
Harry-Berndtsson_923,Harry Berndtsson,Anders Harry Berndtsson (born 1915-01-09) IFK Göteborg player stated in ifkdb.se,Q5,
Per-Olof-Berndtsson_114,Per-Olof Berndtsson,Per Olof Berndtsson (born 1920-03-10) IFK Göteborg player stated in ifkdb.se,Q5,
Anders-Bernmar+(Andersson)_19,Anders Bernmar,Per Anders Samuel Bernmar (born 1917-09-30) IFK Göteborg player stated in ifkdb.se,Q5,Q5574006
Algot-Berntsson_113,Algot Berntsson,Fritz Algot Berntsson (born 1889-01-22) IFK Göteborg player stated in ifkdb.se,Q5,
Bengt-Bertilsson_115,Bengt Bertilsson,"Bengt Ingvar Tommy Bertilsson (born 1949-03-21) goalkeeper in IFK Göteborg, last season 1971",Q5,
Elis-Bishesari_960,Elis Bishesari,Elis Stefan Bishesari (born 2005-05-19) IFK Göteborg player stated in ifkdb.se,Q5,Q125292242
Theodor+Elmar-Bjarnason_759,Theodor Elmar Bjarnason,"Theodór Elmar Bjarnason (born 1987-03-04) midfielder in IFK Göteborg, last season 2011",Q5,Q2552704
Mattias-Bjärsmyr_760,Mattias Bjärsmyr,"Nils Erik Mattias Bjärsmyr (born 1986-01-03) IFK Göteborg player, last season 2022",Q5,Q518833
Bill-Björklund_117,Bill Björklund,Bill Sven-Ove Björklund (born 1941-12-24) IFK Göteborg player stated in ifkdb.se,Q5,
Joachim-Björklund_118,Joachim Björklund,"Joachim Björklund (born 1971-03-15) IFK Göteborg player, last season 1995",Q5,Q459873
Leif-Björkman_119,Leif Björkman,Leif Gunnar Björkman (born 1924-10-11) IFK Göteborg player stated in ifkdb.se,Q5,Q128790260
Petter-Björlund_761,Petter Björlund,"Petter Johannes Björlund (born 1989-06-05) IFK Göteborg player, last season 2009",Q5,Q5578147
Sam-Bjur_116,Sam Bjur,"Sam Thomas Bjur (born 1966-09-12) attacker in IFK Göteborg, last season 1986",Q5,
Henrik-Bjørdal_872,Henrik Bjørdal,"Henrik Rørvik Bjørdal (born 1997-02-04) IFK Göteborg player, last season 2017",Q5,Q16213248
Ralf-Blom_120,Ralf Blom,Ralf Göran Blom (born 1947-05-30) IFK Göteborg player stated in ifkdb.se,Q5,
Hans-Blomqvist_121,Hans Blomqvist,"Hans Fredrik Blomqvist (born 1975-03-17) attacker in IFK Göteborg, last season 2003",Q5,Q5579663
Jesper-Blomqvist_122,Jesper Blomqvist,"Lars Jesper Blomqvist (born 1974-02-05) attacker in IFK Göteborg, last season 1996",Q5,Q342387
