id,name,desc,type,url,wikidata
737,"Karlsson, Stig","Swedish association football player, played for BoIS, born 1937-07-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=737&link=visa-data,
3762,"Karlsson, Viktor","Swedish association football player, played for BoIS, born 2001-05-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3762&link=visa-data,
49,"Kelly, Andrew","Swedish association football player, played for BoIS, born 1984-01-09",Q5,https://boishistoria.se/visa-data/?what=spelare&id=49&link=visa-data,
3589,"Khattab, Osama","Swedish association football player, played for BoIS, born 2002-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3589&link=visa-data,
450,"Kilcewskis, Kurt ""Killis""","Swedish association football player, played for BoIS, born 1958-02-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=450&link=visa-data,
507,"Kjellsson, Magnus","Swedish association football player, played for BoIS, born 1979-01-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=507&link=visa-data,
1,"Klein, Atell","Swedish association football player, played for BoIS, born 1898-11-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=1&link=visa-data,
344,"Knutsson, Johan","Swedish association football player, played for BoIS, born 1896-04-04",Q5,https://boishistoria.se/visa-data/?what=spelare&id=344&link=visa-data,
395,"Kongsbög, Johnny","Swedish association football player, played for BoIS, born 1966-12-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=395&link=visa-data,
3756,"Kotto, Samuel","Swedish association football player, played for BoIS, born 2003-09-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3756&link=visa-data,
215,"Krasniqi, Florent","Swedish association football player, played for BoIS, born 1995-06-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=215&link=visa-data,
807,"Kristersson, Valter","Swedish association football player, played for BoIS, born 1903-12-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=807&link=visa-data,
689,"Kropp, Roland","Swedish association football player, played for BoIS, born 1927-12-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=689&link=visa-data,
312,"Kruse, Henry","Swedish association football player, played for BoIS, born 1920-01-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=312&link=visa-data,
9,"Kujovic, Ajsel","Swedish association football player, played for BoIS, born 1986-03-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=9&link=visa-data,
181,"Kujovic, Emir","Swedish association football player, played for BoIS, born 1988-06-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=181&link=visa-data,
3733,"Kulego, Emanuel","Swedish association football player, played for BoIS, born 2002-06-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3733&link=visa-data,
407,"Kusi Asare, Jones","Swedish association football player, played for BoIS, born 1980-05-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=407&link=visa-data,
591,"Kvist, Nils","Swedish association football player, played for BoIS, born 1938-03-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=591&link=visa-data,
624,"Kvist, Patrik","Swedish association football player, played for BoIS, born 1967-03-31",Q5,https://boishistoria.se/visa-data/?what=spelare&id=624&link=visa-data,
755,"Kvist, Svante","Swedish association football player, played for BoIS, born 1904-03-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=755&link=visa-data,
813,"Kvist, William","Swedish association football player, played for BoIS, born 1994-08-25",Q5,https://boishistoria.se/visa-data/?what=spelare&id=813&link=visa-data,
3679,"Ladan, Nikola","Swedish association football player, played for BoIS, born 1993-03-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3679&link=visa-data,
805,"Lai, Valentino","Swedish association football player, played for BoIS, born 1984-02-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=805&link=visa-data,
288,"Landgren, Harry","Swedish association football player, played for BoIS, born 1939-03-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=288&link=visa-data,
604,"Langnes, Ole","Swedish association football player, played for BoIS, born 1971-07-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=604&link=visa-data,
519,"Lantz, Marcus","Swedish association football player, played for BoIS, born 1975-10-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=519&link=visa-data,
168,"Larsen, Dennis","Swedish association football player, played for BoIS, born 1965-02-27",Q5,https://boishistoria.se/visa-data/?what=spelare&id=168&link=visa-data,
3387,"Larsson, Andreas","Swedish association football player, played for BoIS, born 1973-04-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3387&link=visa-data,
51,"Larsson, Anton","Swedish association football player, played for BoIS, born 1991-01-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=51&link=visa-data,
76,"Larsson, Bengt","Swedish association football player, played for BoIS, born 1938-06-20",Q5,https://boishistoria.se/visa-data/?what=spelare&id=76&link=visa-data,
3487,"Larsson, Henrik","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3487&link=visa-data,
401,"Larsson, Jonas","Swedish association football player, played for BoIS, born 1981-01-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=401&link=visa-data,
412,"Larsson, Jörgen","Swedish association football player, played for BoIS, born 1971-01-09",Q5,https://boishistoria.se/visa-data/?what=spelare&id=412&link=visa-data,
496,"Larsson, Leo","Swedish association football player, played for BoIS, born 1956-11-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=496&link=visa-data,
634,"Larsson, Per","Swedish association football player, played for BoIS, born 1954-06-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=634&link=visa-data,
718,"Larsson, Simon","Swedish association football player, played for BoIS, born 1987-11-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=718&link=visa-data,
757,"Larsson, Sven ""Lunkan""","Swedish association football player, played for BoIS, born 1939-06-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=757&link=visa-data,
773,"Larsson, Thomas","Swedish association football player, played for BoIS, born 1978-01-31",Q5,https://boishistoria.se/visa-data/?what=spelare&id=773&link=visa-data,
786,"Larsson, Tommy","Swedish association football player, played for BoIS, born 1951-09-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=786&link=visa-data,
818,"Larsson, Yngve","Swedish association football player, played for BoIS, born 1916-10-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=818&link=visa-data,
3761,"Lataj, Albin","Swedish association football player, played for BoIS, born 2005-11-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3761&link=visa-data,
183,"Laurenius, Eric","Swedish association football player, played for BoIS, born 1984-03-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=183&link=visa-data,
501,"Leci, Liridon","Swedish association football player, played for BoIS, born 1985-02-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=501&link=visa-data,
359,"Leech, Jarrett","Swedish association football player, played for BoIS, born 1986-08-02",Q5,https://boishistoria.se/visa-data/?what=spelare&id=359&link=visa-data,
673,"Lekic, Rajko","Swedish association football player, played for BoIS, born 1981-07-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=673&link=visa-data,
