id,name,desc,type,q
Patrik-Bengtsson_93,Patrik Bengtsson,"anfallare i IFK Göteborg, sista säsong 1995",Q5,Q101664653
Sture-Bengtsson_94,Sture Bengtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Holger-Bennhov+(Bengtsson)_92,Holger Bennhov,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q126880260
Lion-Beqiri_980,Lion Beqiri,"anfallare i IFK Göteborg, sista säsong 2024",Q5,Q125270101
Bror-Berg_97,Bror Berg,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160720
Fritz-Berg_98,Fritz Berg,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q101112475
Jonatan-Berg_758,Jonatan Berg,"anfallare i IFK Göteborg, sista säsong 2008",Q5,Q768352
Kent-Berg_99,Kent Berg,"försvarare i IFK Göteborg, sista säsong 1960",Q5,
Marcus-Berg_757,Marcus Berg,"anfallare i IFK Göteborg, sista säsong 2023",Q5,Q311910
Harry-Bergelin_102,Harry Bergelin,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160721
Hans-Bergendahl_100,Hans Bergendahl,"målvakt i IFK Göteborg, sista säsong 1972",Q5,
Fred-Berglin_908,Fred Berglin,"IFK Göteborg-spelare, sista säsong 2019",Q5,
Olof-Berglund_103,Olof Berglund,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Evert-Bergman_104,Evert Bergman,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Jakob-Bergman_861,Jakob Bergman,"försvarare i IFK Göteborg, sista säsong 2015",Q5,Q26211825
Uno-Bergman_105,Uno Bergman,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160722
Adam-Bergmark+Wiberg_1013,Wiberg Adam Bergmark,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q37012842
Erik-Bergqvist_101,Erik Bergqvist,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q120963096
Algot-Bergström_106,Algot Bergström,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160723
Erik-Bergström_109,Erik Bergström,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q1353833
Henrik-Bergström_107,Henrik Bergström,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q124414097
Ralph-Bergström_108,Ralph Bergström,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Bengt-Berndtsson_110,Bengt Berndtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q817210
Elis-Berndtsson_111,Elis Berndtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160724
Harry-Berndtsson_112,Harry Berndtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Harry-Berndtsson_923,Harry Berndtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Per-Olof-Berndtsson_114,Per-Olof Berndtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Anders-Bernmar+(Andersson)_19,Anders Bernmar,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q5574006
Algot-Berntsson_113,Algot Berntsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Bengt-Bertilsson_115,Bengt Bertilsson,"målvakt i IFK Göteborg, sista säsong 1971",Q5,
Elis-Bishesari_960,Elis Bishesari,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q125292242
Theodor+Elmar-Bjarnason_759,Theodor Elmar Bjarnason,"mittfältare i IFK Göteborg, sista säsong 2011",Q5,Q2552704
Mattias-Bjärsmyr_760,Mattias Bjärsmyr,"IFK Göteborg-spelare, sista säsong 2022",Q5,Q518833
Bill-Björklund_117,Bill Björklund,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Joachim-Björklund_118,Joachim Björklund,"IFK Göteborg-spelare, sista säsong 1995",Q5,Q459873
Leif-Björkman_119,Leif Björkman,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q128790260
Petter-Björlund_761,Petter Björlund,"IFK Göteborg-spelare, sista säsong 2009",Q5,Q5578147
Sam-Bjur_116,Sam Bjur,"anfallare i IFK Göteborg, sista säsong 1986",Q5,
Henrik-Bjørdal_872,Henrik Bjørdal,"IFK Göteborg-spelare, sista säsong 2017",Q5,Q16213248
Ralf-Blom_120,Ralf Blom,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Hans-Blomqvist_121,Hans Blomqvist,"anfallare i IFK Göteborg, sista säsong 2003",Q5,Q5579663
Jesper-Blomqvist_122,Jesper Blomqvist,"anfallare i IFK Göteborg, sista säsong 1996",Q5,Q342387
Rolf-Blomqvist_123,Rolf Blomqvist,"målvakt i IFK Göteborg, sista säsong 1975",Q5,
Karl-Bohm_762,Karl Bohm,"IFK Göteborg-spelare, sista säsong 2015",Q5,Q16229664
Gösta-Bohman_124,Gösta Bohman,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160725
Darijan-Bojanic_763,Darijan Bojanic,"mittfältare i IFK Göteborg, sista säsong 2014",Q5,Q5580980
Mikael-Boman_844,Mikael Boman,"anfallare i IFK Göteborg, sista säsong 2017",Q5,Q5581398
Hans-Bomb_125,Hans Bomb,IFK Göteborg-spelare enligt ifkdb.se,Q5,
David-Boo+Wiklander_726,Wiklander David Boo,"IFK Göteborg-spelare, sista säsong 2018",Q5,Q5241069
Alfons-Borén_982,Alfons Borén,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Georg-Borg_126,Georg Borg,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160726
Åke-Börjesson_138,Åke Börjesson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Erik-Börjesson_136,Erik Börjesson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q351841
Reino-Börjesson_137,Reino Börjesson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q775980
Rolf-Borssén_127,Rolf Borssén,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q138560385
Roberth-Börve_139,Roberth Börve,"anfallare i IFK Göteborg, sista säsong 1992",Q5,
Harry-Branting_128,Harry Branting,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Benjamin-Brantlind_976,Benjamin Brantlind,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q124734116
Tobias-Bratt_764,Tobias Bratt,"försvarare i IFK Göteborg, sista säsong 2012",Q5,Q15734556
Bror-Brink_129,Bror Brink,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121008396
Yngve-Brodd_130,Yngve Brodd,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q722121
Oliwer-Brodin_962,Oliwer Brodin,"mittfältare i IFK Göteborg, sista säsong 2023",Q5,
Allan-Brufelt+(Andersson)_18,Allan Brufelt,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121143380
Andreas-Brunbäck_131,Andreas Brunbäck,"IFK Göteborg-spelare, sista säsong 1994",Q5,
Hans-Brunbäck_132,Hans Brunbäck,IFK Göteborg-spelare enligt ifkdb.se,Q5,
