url,name
https://goteborgsalliansen.se/spelare/G%C3%B6te-Ellstr%C3%B6m_154,Göte Ellström														(1916-2010)
https://goteborgsalliansen.se/spelare/Rune-Emanuelsson_183,Rune Emanuelsson														(1923-1993)
https://goteborgsalliansen.se/spelare/Bertil-Ericsson_97,Bertil Ericsson														(1908-2002)
https://goteborgsalliansen.se/spelare/Bj%C3%B6rn-Eriksson_286,Björn Eriksson														(1943-2018)
https://goteborgsalliansen.se/spelare/Ingemar-Eriksson_242,Ingemar Eriksson														(1929-1997)
https://goteborgsalliansen.se/spelare/Nils-Eriksson_182,Nils Eriksson														(1916-2000)
https://goteborgsalliansen.se/spelare/Per-Erik-Eriksson_333,Per-Erik Eriksson
https://goteborgsalliansen.se/spelare/Kaj-Eskelinen_362,Kaj Eskelinen
https://goteborgsalliansen.se/spelare/-Eus%C3%A9bio_315,Eusébio														(1942-2014)
https://goteborgsalliansen.se/spelare/Axel-F%C3%A4rnstr%C3%B6m_227,Axel Färnström														(1925-2003)
https://goteborgsalliansen.se/spelare/Gunnar-Forsberg_130,Gunnar Forsberg														(1911-1992)
https://goteborgsalliansen.se/spelare/Leif-Forsberg_224,Leif Forsberg														(1932-2008)
https://goteborgsalliansen.se/spelare/Eine-Fredriksson_319,Eine Fredriksson
https://goteborgsalliansen.se/spelare/Folke-Fredriksson_237,Folke Fredriksson														(1927-2000)
https://goteborgsalliansen.se/spelare/Sven-Friberg_25,Sven Friberg														(1895-1964)
https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,Rolf Gardtman														(1907-1934)
https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,Rolf Gardtman														(1907-1934)
https://goteborgsalliansen.se/spelare/Evert-Grahn_178,Evert Grahn														(1921-2010)
https://goteborgsalliansen.se/spelare/Evert-Grahn_178,Evert Grahn														(1921-2010)
https://goteborgsalliansen.se/spelare/Erik-Granath_83,Erik Granath														(1910-1971)
https://goteborgsalliansen.se/spelare/Krister-Granbom_288,Krister Granbom														(1941-2023)
https://goteborgsalliansen.se/spelare/Joakim-Grandelius_361,Joakim Grandelius
https://goteborgsalliansen.se/spelare/Tryggve-Granqvist_211,Tryggve Granqvist														(1925-1997)
https://goteborgsalliansen.se/spelare/Kent-Grek_274,Kent Grek														(1942-2019)
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren														(1920-1991)
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren														(1920-1991)
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren														(1920-1991)
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren														(1920-1991)
https://goteborgsalliansen.se/spelare/Lars-Gunnskog_280,Lars Gunnskog
https://goteborgsalliansen.se/spelare/Gustaf-Gustafsson_82,Gustaf Gustafsson														(1902-1991)
https://goteborgsalliansen.se/spelare/Magnus-Gustafsson_367,Magnus Gustafsson
https://goteborgsalliansen.se/spelare/Rolf-Gustafsson_171,Rolf Gustafsson														(1920-2009)
https://goteborgsalliansen.se/spelare/%C3%85ke-Gustavsson_276,Åke Gustavsson
https://goteborgsalliansen.se/spelare/Christer-Gustavsson_321,Christer Gustavsson
https://goteborgsalliansen.se/spelare/Patrik-Gustavsson_364,Patrik Gustavsson
https://goteborgsalliansen.se/spelare/Ragnar-Gustavsson_71,Ragnar Gustavsson														(1907-1980)
https://goteborgsalliansen.se/spelare/Jonny-H%C3%A4ger%C3%A5_357,Jonny Hägerå
https://goteborgsalliansen.se/spelare/Per-Olof-Hagman_341,Per-Olof Hagman														(1956-2011)
https://goteborgsalliansen.se/spelare/Sjunne-Hallberg_27,Sjunne Hallberg														(1893-1951)
https://goteborgsalliansen.se/spelare/Thomas-Hallberg_379,Thomas Hallberg
https://goteborgsalliansen.se/spelare/%C3%85ke-Hallman_162,Åke Hallman														(1912-1973)
https://goteborgsalliansen.se/spelare/Sven-Hammar_122,Sven Hammar														(1911-1979)
https://goteborgsalliansen.se/spelare/Nils-Hans%C3%A9n_241,Nils Hansén														(1920-1997)
https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,Åke Hansson														(1903-1981)
https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,Åke Hansson														(1903-1981)
https://goteborgsalliansen.se/spelare/Evert-Hansson_78,Evert Hansson														(1908-1979)
https://goteborgsalliansen.se/spelare/Holger-Hansson_197,Holger Hansson														(1927-2014)
https://goteborgsalliansen.se/spelare/Knut-Hansson_146,Knut Hansson														(1911-1990)
https://goteborgsalliansen.se/spelare/Per-Olof-Hansson_248,Per-Olof Hansson														(1932-2016)
https://goteborgsalliansen.se/spelare/Rolf-Hansson_294,Rolf Hansson														(1943-1981)
https://goteborgsalliansen.se/spelare/Viktor-Hansson_55,Viktor Hansson														(1893-1991)
https://goteborgsalliansen.se/spelare/Lars-Ove-Haraldsson_298,Lars-Ove Haraldsson
https://goteborgsalliansen.se/spelare/Kent-Harman_312,Kent Harman														(1943-2025)
https://goteborgsalliansen.se/spelare/Einar-Hedeberg_62,Einar Hedeberg														(1898-1985)
https://goteborgsalliansen.se/spelare/Christer-Heideberg_301,Christer Heideberg
https://goteborgsalliansen.se/spelare/Henning-Helgesson_60,Henning Helgesson														(1900-1986)
https://goteborgsalliansen.se/spelare/Ove-Helm%C3%A9r_246,Ove Helmér
https://goteborgsalliansen.se/spelare/Lars-Henriksson_244,Lars Henriksson														(1930-2008)
https://goteborgsalliansen.se/spelare/Gustaf-Hermansson_34,Gustaf Hermansson														(1900-1969)
https://goteborgsalliansen.se/spelare/Fritjof-Hill%C3%A9n_42,Fritjof Hillén														(1893-1977)
https://goteborgsalliansen.se/spelare/Alf-Hjelm_89,Alf Hjelm														(1902-1969)
https://goteborgsalliansen.se/spelare/Erik-Hjelm_10,Erik Hjelm														(1893-1975)
https://goteborgsalliansen.se/spelare/Gunder-H%C3%B6gstr%C3%B6m_302,Gunder Högström
https://goteborgsalliansen.se/spelare/Gunnar-Holmberg_61,Gunnar Holmberg														(1897-1975)
https://goteborgsalliansen.se/spelare/Karl-Erik-Holmberg_73,Karl-Erik Holmberg														(1906-1991)
https://goteborgsalliansen.se/spelare/Ivan-Holmdahl_35,Ivan Holmdahl														(1894-1953)
https://goteborgsalliansen.se/spelare/Vallentin-Hult%C3%A9n_92,Vallentin Hultén														(1911-1993)
https://goteborgsalliansen.se/spelare/Olof-Hultfeldt_91,Olof Hultfeldt														(1911-1988)
https://goteborgsalliansen.se/spelare/Erik-Hultgren_88,Erik Hultgren														(1903-1969)
https://goteborgsalliansen.se/spelare/Erik-Hys%C3%A9n_87,Erik Hysén														(1906-1988)
https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,Glenn Hysén
https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,Glenn Hysén
https://goteborgsalliansen.se/spelare/Jethro-Jackson_373,Jethro Jackson
https://goteborgsalliansen.se/spelare/Karl-Alfred-Jacobsson_208,Karl-Alfred Jacobsson														(1926-2015)
https://goteborgsalliansen.se/spelare/Sanny-Jacobsson_215,Sanny Jacobsson														(1930-2017)
https://goteborgsalliansen.se/spelare/Sven-Jacobsson_144,Sven Jacobsson														(1914-1983)
https://goteborgsalliansen.se/spelare/Lars-Jangblad_221,Lars Jangblad														(1931-2016)
https://goteborgsalliansen.se/spelare/Bertil-Jansson_231,Bertil Jansson														(1932-2002)
https://goteborgsalliansen.se/spelare/Per-%C3%85ke-Jansson_272,Per-Åke Jansson														(1938-2023)
https://goteborgsalliansen.se/spelare/S%C3%B6ren-J%C3%A4rel%C3%B6v_353,Sören Järelöv
https://goteborgsalliansen.se/spelare/Hasse-Jeppson_190,Hasse Jeppson														(1925-2013)
https://goteborgsalliansen.se/spelare/Hasse-Jeppson_190,Hasse Jeppson														(1925-2013)
https://goteborgsalliansen.se/spelare/Rune-Jing%C3%A5rd_200,Rune Jingård														(1925-2018)
https://goteborgsalliansen.se/spelare/Kurt-Johanson_270,Kurt Johanson														(1932-1998)
https://goteborgsalliansen.se/spelare/Baldwin-Johansson_45,Baldwin Johansson														(1898-1940)
https://goteborgsalliansen.se/spelare/Bebben-Johansson_235,Bebben Johansson														(1935-2021)
https://goteborgsalliansen.se/spelare/Bengt-G%C3%B6ran-Johansson_247,Bengt-Göran Johansson														(1934-2016)
https://goteborgsalliansen.se/spelare/Bo-Johansson_284,Bo Johansson
https://goteborgsalliansen.se/spelare/Einar-Johansson_56,Einar Johansson														(1899-1963)
https://goteborgsalliansen.se/spelare/Elam-Johansson_53,Elam Johansson														(1896-1963)
https://goteborgsalliansen.se/spelare/Erik-Johansson_64,Erik Johansson														(1900-1983)
https://goteborgsalliansen.se/spelare/Filip-Johansson_20,Filip Johansson														(1902-1976)
https://goteborgsalliansen.se/spelare/Folke-Johansson_151,Folke Johansson														(1916-1992)
https://goteborgsalliansen.se/spelare/Gunnar-Johansson_209,Gunnar Johansson														(1924-2003)
https://goteborgsalliansen.se/spelare/Gustaf-Johansson_46,Gustaf Johansson														(1893-1979)
https://goteborgsalliansen.se/spelare/Gustav-Johansson_66,Gustav Johansson														(1900-1968)
https://goteborgsalliansen.se/spelare/Hans-Johansson_314,Hans Johansson
https://goteborgsalliansen.se/spelare/Harry-Johansson_108,Harry Johansson														(1909-1967)
https://goteborgsalliansen.se/spelare/Harry-Johansson_108,Harry Johansson														(1909-1967)
https://goteborgsalliansen.se/spelare/Holger-Johansson_96,Holger Johansson														(1911-1992)
https://goteborgsalliansen.se/spelare/Jan-Johansson_262,Jan Johansson														(1937-2024)
https://goteborgsalliansen.se/spelare/John-Johansson_40,John Johansson														(1894-1961)
https://goteborgsalliansen.se/spelare/Karl-Johansson_6,Karl Johansson														(1895-1943)
https://goteborgsalliansen.se/spelare/Knut-Johansson_168,Knut Johansson														(1918-2001)
https://goteborgsalliansen.se/spelare/Lars-G%C3%B6ran-Johansson_290,Lars-Göran Johansson
https://goteborgsalliansen.se/spelare/Lennart-Johansson_324,Lennart Johansson
https://goteborgsalliansen.se/spelare/Magnus-Johansson_356,Magnus Johansson
https://goteborgsalliansen.se/spelare/Nils-Johansson_263,Nils Johansson														(1934-2025)
https://goteborgsalliansen.se/spelare/Olof-Johansson_119,Olof Johansson														(1908-1978)
https://goteborgsalliansen.se/spelare/Paul-Johansson_277,Paul Johansson
https://goteborgsalliansen.se/spelare/Roger-Johansson_238,Roger Johansson														(1932-2008)
https://goteborgsalliansen.se/spelare/Roland-Johansson_236,Roland Johansson														(1930-2003)
https://goteborgsalliansen.se/spelare/Ronald-Johansson_249,Ronald Johansson														(1936-1964)
https://goteborgsalliansen.se/spelare/Sven-Johansson_49,Sven Johansson														(1899-1953)
https://goteborgsalliansen.se/spelare/Egon-Johnsson_201,Egon Johnsson														(1926-1985)
https://goteborgsalliansen.se/spelare/Sven-Jonasson_123,Sven Jonasson														(1909-1984)
https://goteborgsalliansen.se/spelare/Carl-Jonsson_107,Carl Jonsson														(1908-1989)
https://goteborgsalliansen.se/spelare/Fridolf-Jonsson_30,Fridolf Jonsson														(1890-1962)
https://goteborgsalliansen.se/spelare/Helge-Jonsson_113,Helge Jonsson														(1912-1992)
https://goteborgsalliansen.se/spelare/Nils-Jonsson_229,Nils Jonsson														(1932-1976)
https://goteborgsalliansen.se/spelare/Stig-Jonsson_269,Stig Jonsson														(1939-1981)
https://goteborgsalliansen.se/spelare/Tomas-J%C3%B6nsson_376,Tomas Jönsson
https://goteborgsalliansen.se/spelare/Yngve-K%C3%A4llkvist_335,Yngve Källkvist														(1949-2023)
https://goteborgsalliansen.se/spelare/Pontus-K%C3%A5mark_365,Pontus Kåmark
https://goteborgsalliansen.se/spelare/Gunnar-K%C3%A4mpendahl_258,Gunnar Kämpendahl														(1937-2020)
https://goteborgsalliansen.se/spelare/Conny-Karlsson_337,Conny Karlsson
https://goteborgsalliansen.se/spelare/Einar-Karlsson_145,Einar Karlsson														(1909-1967)
https://goteborgsalliansen.se/spelare/G%C3%B6te-Karlsson_180,Göte Karlsson														(1921-1990)
https://goteborgsalliansen.se/spelare/Gunnar-Karlsson_351,Gunnar Karlsson
https://goteborgsalliansen.se/spelare/Herbert-Karlsson_9,Herbert Karlsson														(1896-1952)
https://goteborgsalliansen.se/spelare/Joachim-Karlsson_366,Joachim Karlsson
https://goteborgsalliansen.se/spelare/Nils-Karlsson_32,Nils Karlsson														(1897-1967)
https://goteborgsalliansen.se/spelare/Ola-Karlsson_377,Ola Karlsson
https://goteborgsalliansen.se/spelare/Roger-Karlsson_285,Roger Karlsson
https://goteborgsalliansen.se/spelare/Rolf-Karlsson_340,Rolf Karlsson
https://goteborgsalliansen.se/spelare/Walter-Karlsson_116,Walter Karlsson														(1908-1984)
https://goteborgsalliansen.se/spelare/Willis-Karlsson_157,Willis Karlsson														(1914-1987)
https://goteborgsalliansen.se/spelare/Nicklas-Karlstr%C3%B6m_360,Nicklas Karlström
https://goteborgsalliansen.se/spelare/Anders-Kiel_378,Anders Kiel
https://goteborgsalliansen.se/spelare/Ove-Kindvall_338,Ove Kindvall														(1943-2025)
https://goteborgsalliansen.se/spelare/Ivar-Klingstr%C3%B6m_4,Ivar Klingström														(1897-1993)
https://goteborgsalliansen.se/spelare/Arne-Knutsson_265,Arne Knutsson														(1934-2000)
https://goteborgsalliansen.se/spelare/Carl-Krantz_33,Carl Krantz														(1894-1964)
https://goteborgsalliansen.se/spelare/Karl+Erik-Kristensson_207,Karl Erik Kristensson														(1926-2009)
https://goteborgsalliansen.se/spelare/%C3%85ke-Kristiansson_175,Åke Kristiansson														(1920-1994)
https://goteborgsalliansen.se/spelare/Albert-Kristiansson_48,Albert Kristiansson														(1892-1967)
https://goteborgsalliansen.se/spelare/Douglas-Krook_36,Douglas Krook														(1897-1971)
https://goteborgsalliansen.se/spelare/Douglas-Krook_36,Douglas Krook														(1897-1971)
https://goteborgsalliansen.se/spelare/Svejde-Krook_95,Svejde Krook														(1914-1999)
https://goteborgsalliansen.se/spelare/Evert-Lager_104,Evert Lager														(1907-1964)
https://goteborgsalliansen.se/spelare/Benno-Larsen_320,Benno Larsen
https://goteborgsalliansen.se/spelare/Berry-Larsson_313,Berry Larsson
https://goteborgsalliansen.se/spelare/Folke-Larsson_153,Folke Larsson														(1915-1995)
https://goteborgsalliansen.se/spelare/Henry-Larsson_206,Henry Larsson														(1924-2015)
https://goteborgsalliansen.se/spelare/Leif-Larsson_160,Leif Larsson														(1921-1975)
https://goteborgsalliansen.se/spelare/Leif-Larsson_160,Leif Larsson														(1921-1975)
https://goteborgsalliansen.se/spelare/Nils-Larsson_7,Nils Larsson														(1897-1965)
https://goteborgsalliansen.se/spelare/Osborn-Larsson_332,Osborn Larsson
https://goteborgsalliansen.se/spelare/Thomas-Larsson_349,Thomas Larsson
https://goteborgsalliansen.se/spelare/Torilld-Larsson_12,Torilld Larsson														(1908-1975)
https://goteborgsalliansen.se/spelare/Erik-Levin_43,Erik Levin														(1899-1960)
https://goteborgsalliansen.se/spelare/Helge-Liljebj%C3%B6rn_68,Helge Liljebjörn														(1904-1952)
https://goteborgsalliansen.se/spelare/Erik-Liljenberg_3,Erik Liljenberg														(1894-1976)
https://goteborgsalliansen.se/spelare/Folke-Lind_118,Folke Lind														(1913-2001)
https://goteborgsalliansen.se/spelare/Gunro-Lindberg_273,Gunro Lindberg														(1937-2021)
https://goteborgsalliansen.se/spelare/Roland-Lindberg_150,Roland Lindberg														(1910-1993)
https://goteborgsalliansen.se/spelare/Yngve-Lindegren_163,Yngve Lindegren														(1912-1990)
https://goteborgsalliansen.se/spelare/Leif-Linderoth_250,Leif Linderoth														(1936-2025)
https://goteborgsalliansen.se/spelare/Roland-Lindqvist_264,Roland Lindqvist														(1939-2014)
https://goteborgsalliansen.se/spelare/Stefan-Lindqvist_363,Stefan Lindqvist														(1967-2020)
