id,name,desc
Leif-Andersson_52,ANDERSSON Leif,Spelare i IFK Göteborg (ifkdb.se ID Leif-Andersson_52)
Lennart-Andersson_53,ANDERSSON Lennart,Spelare i IFK Göteborg (ifkdb.se ID Lennart-Andersson_53)
Lennart-Andersson_54,ANDERSSON Lennart,Spelare i IFK Göteborg (ifkdb.se ID Lennart-Andersson_54)
Lindoff-Andersson_55,ANDERSSON Lindoff,Spelare i IFK Göteborg (ifkdb.se ID Lindoff-Andersson_55)
Michael-Andersson_56,ANDERSSON Michael,Spelare i IFK Göteborg (ifkdb.se ID Michael-Andersson_56)
Mikael-Andersson_750,ANDERSSON Mikael,Spelare i IFK Göteborg (ifkdb.se ID Mikael-Andersson_750)
Nils-Andersson_57,ANDERSSON Nils,Spelare i IFK Göteborg (ifkdb.se ID Nils-Andersson_57)
Oscar-Andersson_58,ANDERSSON Oscar,Spelare i IFK Göteborg (ifkdb.se ID Oscar-Andersson_58)
Otto-Andersson_59,ANDERSSON Otto,Spelare i IFK Göteborg (ifkdb.se ID Otto-Andersson_59)
Patric-Andersson_60,ANDERSSON Patric,Spelare i IFK Göteborg (ifkdb.se ID Patric-Andersson_60)
Peter-Andersson_61,ANDERSSON Peter,Spelare i IFK Göteborg (ifkdb.se ID Peter-Andersson_61)
Raymond-Andersson_62,ANDERSSON Raymond,Spelare i IFK Göteborg (ifkdb.se ID Raymond-Andersson_62)
Robert-Andersson_63,ANDERSSON Robert,Spelare i IFK Göteborg (ifkdb.se ID Robert-Andersson_63)
Roger-Andersson_64,ANDERSSON Roger,Spelare i IFK Göteborg (ifkdb.se ID Roger-Andersson_64)
Rolf-Andersson_924,ANDERSSON Rolf,Spelare i IFK Göteborg (ifkdb.se ID Rolf-Andersson_924)
Stefan-Andersson_67,ANDERSSON Stefan,Spelare i IFK Göteborg (ifkdb.se ID Stefan-Andersson_67)
Stellan-Andersson_68,ANDERSSON Stellan,Spelare i IFK Göteborg (ifkdb.se ID Stellan-Andersson_68)
Sven-Andersson_69,ANDERSSON Sven,Spelare i IFK Göteborg (ifkdb.se ID Sven-Andersson_69)
Tage-Andersson_70,ANDERSSON Tage,Spelare i IFK Göteborg (ifkdb.se ID Tage-Andersson_70)
Teodor-Andersson_71,ANDERSSON Teodor,Spelare i IFK Göteborg (ifkdb.se ID Teodor-Andersson_71)
Thomas-Andersson_73,ANDERSSON Thomas,Spelare i IFK Göteborg (ifkdb.se ID Thomas-Andersson_73)
Verner-Andersson_74,ANDERSSON Verner,Spelare i IFK Göteborg (ifkdb.se ID Verner-Andersson_74)
Viktor-Andersson_1012,ANDERSSON Viktor,Spelare i IFK Göteborg (ifkdb.se ID Viktor-Andersson_1012)
Conny-Andreasson_76,ANDREASSON Conny,Spelare i IFK Göteborg (ifkdb.se ID Conny-Andreasson_76)
Kenny-Andr%C3%A9n_77,ANDRÉN Kenny,Spelare i IFK Göteborg (ifkdb.se ID Kenny-Andr%C3%A9n_77)
Johan-Anegrund_78,ANEGRUND Johan,Spelare i IFK Göteborg (ifkdb.se ID Johan-Anegrund_78)
Giannis-Anestis_899,ANESTIS Giannis,Spelare i IFK Göteborg (ifkdb.se ID Giannis-Anestis_899)
Jakob-Ankersen_858,ANKERSEN Jakob,Spelare i IFK Göteborg (ifkdb.se ID Jakob-Ankersen_858)
Henry-Antfors+%28Andersson%29_43,ANTFORS Henry,Spelare i IFK Göteborg (ifkdb.se ID Henry-Antfors+%28Andersson%29_43)
Mikael-Antonsson_79,ANTONSSON Mikael,Spelare i IFK Göteborg (ifkdb.se ID Mikael-Antonsson_79)
Arne-Appelgren_80,APPELGREN Arne,Spelare i IFK Göteborg (ifkdb.se ID Arne-Appelgren_80)
