id	name	description
625	Fredrik "Freppa" Espmark	Vänsterback, aktiv 1994-1995, matcher 45
613	Fredrik "Gisan" Giesecke	Högerback, aktiv 1991-1991, matcher 9
1183	Gabriel Ferreyra	Mittfältare, aktiv 2014-2015, matcher 7
56	Gabriel "Gabbe" Özkan	Mittfältare, aktiv 2006-2013, matcher 89
35	Gabriel "Gabbe" Petrović	Mittfältare, aktiv 1993-2006, matcher 40
568	Glenn Rönnberg	Vänsterback, aktiv 1979-1982, matcher 47
468	Göran Åberg	Högerback, aktiv 1960-1987, matcher 165
413	Göran Åslin	Vänsterhalv, aktiv 1951-1959, matcher 68
535	Göran "GG" Göransson	Mittfältare, aktiv 1970-1990, matcher 341
580	Göran Hagberg	Målvakt, aktiv 1982-1982, matcher 13
940	Goran Ljubojević	Forward, aktiv 2010-2011, matcher 20
33	Göran Marklund	Forward, aktiv 2003-2006, matcher 36
358	Gösta "Pröjsarn" Nilsson	Forward, aktiv 1945-1955, matcher 187
250	Gunnar "Keruben" Galin	Vänsterinner, aktiv 1917-1929, matcher 8
382	Gunnar Öqvist	Vänsterinner, aktiv 1950-1954, matcher 13
324	Gunnar "Hoppjerkan" Södergren	Forward, aktiv 1944-1947, matcher 38
280	Gustaf Josefsson	Högerytter, aktiv ? - ?, matcher 109
1231	Gustaf Lagerbielke	Back, aktiv 2017-2019, matcher 2
1223	Gustav Berggren	Mittfältare, aktiv ? -2019, matcher 3
270	Gustav "Gurra" Sjöberg	Målvakt, aktiv 1929-1950, matcher 347
29	Håkan Svensson	Målvakt, aktiv 2002-2004, matcher 61
901	Hans "Hasse" Backe	Tränare, aktiv 1970-1995, matcher 
615	Hans Eskilsson	Forward, aktiv 1991-1991, matcher 12
371	Hans "Hasse" Möller	Högerhalv, aktiv 1946-1953, matcher 6
1158	Hans "Hasse, Trisse" Nilsson	Mittfältare, aktiv ? - ?, matcher 1
336	Hans Nilsson	Högerback, aktiv 1941- ?, matcher 1
330	Harry "Hajjak" Johansson	Vänsterhalv, aktiv 1942-1951, matcher 122
326	Harry Nilsson	Högerback, aktiv 1942-1950, matcher 181
1176	Haukur Hauksson	Back, aktiv 2015-2018, matcher 88
752	Helge "Ekis" Ekroth	Forward, aktiv 1910-1923, matcher 108
942	Helgi Daníelsson	Mittfältare, aktiv 2010-2013, matcher 115
1078	Henok Goitom	Forward, aktiv 2012-2021, matcher 323
304	Henry "Garvis" Carlsson	Inner, aktiv 1939-1966, matcher 218
1210	Heradi Rashidi	Mittfältare, aktiv 2018-2021, matcher 72
222	Herbert "Banken" Ohlsson	Högerinner, aktiv 1908-1926, matcher 54
234	Herman Carlson	Högerinner, aktiv ? - ?, matcher 5
622	Hernando "Labbe" L'Abbé	Målvakt, aktiv 1993-1993, matcher 1
333	Herold "Wolfen" Wolfbrandt	Center, aktiv 1942-1943, matcher 35
288	Holger "Hogge, Bellan" Belin	Vänsterinner, aktiv 1934-1943, matcher 33
1474	Hugo Aviander	Mittfältare, aktiv 2018-2023, matcher 1
236	Hugo Sjögren	Vänsterhalv, aktiv 1926-1937, matcher 143
249	Hugo "Sitting" Söderström	Centerhalv, aktiv 1928-1929, matcher 6
1104	Ibrahim Moro	Mittfältare, aktiv 2012-2015, matcher 81
426	Inge Bengtsson	Vänsterytter, aktiv 1958-1965, matcher 142
420	Ingemar Ingevik	Högerback, aktiv 1952-2002, matcher 70
393	Ingvar "Tjotta" Olsson	Center, aktiv 1951-1958, matcher 144
290	Isidor "Isse" Eriksson	Vänsterhalv, aktiv 1935- ?, matcher 52
368	Ivan "Bodde" Bodin	Center, aktiv 1948-1955, matcher 126
668	Iván Obolo	Forward, aktiv 2007-2009, matcher 108
935	Ivan Turina	Målvakt, aktiv 2010-2013, matcher 110
979	Ivar "Iffa-Sven" Svensson	Forward, aktiv ? - ?, matcher 39
1266	Jack Lahne	Forward, aktiv 2019-2019, matcher 10
904	Jacob Ericsson	Mittfältare, aktiv 2011-2013, matcher 5
1305	Jakob Haugaard	Målvakt, aktiv 2020-2023, matcher 21
493	Jan Adolfsson	Målvakt, aktiv 1968-1968, matcher 1
513	Jan "Blomman, Janne" Åkerblom	Vänsterytter, aktiv 1971-1972, matcher 7
618	Jan Andersson	Back, aktiv 1993-1994, matcher 37
573	Jan "Janne" Eriksson	Innerback, aktiv 1987-1995, matcher 86
759	Jan "Janne" Eriksson	Högerback, aktiv 1977-1984, matcher 39
534	Jan-Olof Wallgren	Innerback, aktiv 1974-1977, matcher 100
628	Jarmo Saastamoinen	Mittback, aktiv 1995-1995, matcher 10
1304	Jasir Asani	Högerytter, aktiv 2020-2020, matcher 11
384	Jerker Hannerz	Center, aktiv 1947-1954, matcher 2
1450	Jesper Ceesay	Defensiv mittfältare, aktiv 2022-2023, matcher 31
623	Jesper "Jeppe" Jansson	Mittback, aktiv 1994-1995, matcher 48
1239	Jesper Merbom Adolfsson	Back, aktiv ? - ?, matcher 1
1225	Jesper Nyholm	Back, aktiv 2016-2019, matcher 32
1422	Jetmir Haliti	Back, aktiv 2021- ?, matcher 28
441	Jim "Jimpa" Nildén	Mittfältare, aktiv 1953-1975, matcher 170
1471	Jimmy Durmaz	Mittfältare, aktiv 2023- ?, matcher 18
15	Jimmy Tamandi	Ytterback, aktiv 2002-2007, matcher 168
603	Joacim Sjöström	Målvakt, aktiv 1989-1990, matcher 41
666	Joakim Hagernäs	Offensiv mittfältare, aktiv 2004-2004, matcher 2
1227	Joel Ekstrand	Back, aktiv 2018-2019, matcher 3
1178	Johan Blomberg	Mittfältare, aktiv 2015-2018, matcher 107
591	Johan Johansson	Ytterback, aktiv 1983-1991, matcher 80
5	Johan "Kungen" Mjällby	Mittfältare, aktiv 1984-2006, matcher 180
320	John Anderberg	Center, aktiv 1941-1942, matcher 14
1406	John Chibuike	Forward, aktiv 2016-2017, matcher 7
842	John Guidetti	Forward, aktiv 2022- ?, matcher 41
242	John "Jompa" Nilsson	Högerytter, aktiv 1925-1936, matcher 154
242	John "Jompa" Nilsson	Högerytter, aktiv 1925-1936, matcher 154
285	John "Long-John" Nilsson	Center, aktiv 1934-1936, matcher 31
285	John "Long-John" Nilsson	Center, aktiv 1934-1936, matcher 31
210	John "Broarn" Persson	Centerhalv, aktiv ? - ?, matcher 96
1522	Jonah Kusi-Asare	Forward, aktiv 2023- ?, matcher 1
612	Jonas "Jonte" Henriksson	Forward, aktiv 1984-1991, matcher 2
1152	Jonas Olsson	Målvakt, aktiv ? -2014, matcher 1
1456	Jordan Larsson	Forward, aktiv 2022-2022, matcher 13
768	Jorge Anchén	Mittfältare, aktiv 2008-2008, matcher 30
790	Jorge Ortíz	Mittfältare, aktiv 2008-2010, matcher 82
178	Jörgen Bengtsson	Forward, aktiv 1960-1973, matcher 121
416	Jörgen Ekengren	Målvakt, aktiv 1956-1959, matcher 46
