id,name,desc,type,url
1020,Mattias Genc,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1020
739,CA Holmberg,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=739
1414,Morgan Fehrling,"Swedish association football player, played for AIK, Mittback, active ? -2017",Q5,https://www.aikstats.se/player.php?id=1414
1493,Gösta Ekholm,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1493
1256,Bo Anderberg,"Swedish association football player, played for AIK, , active ? -1974",Q5,https://www.aikstats.se/player.php?id=1256
845,Joakim Mattson,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=845
1041,Mehdi Khalil,"Swedish association football player, played for AIK, Målvakt, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1041
1050,Mathias Holm,"Swedish association football player, played for AIK, Ungdomstränare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1050
1444,Jens Gustafsson,"Swedish association football player, played for AIK, Assisterande tränare, active 2016-2016",Q5,https://www.aikstats.se/player.php?id=1444
1060,David Simbo,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1060
788,Jesper Lindgren,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=788
1068,John Junior,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1068
797,Pontus Farnerud,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=797
906,Sandro Catenacci,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=906
1461,Martin Falk,"Swedish association football player, played for AIK, Tränare, active 2018-2020",Q5,https://www.aikstats.se/player.php?id=1461
1469,Den saknade generationen,"Swedish association football player, played for AIK, Supporter, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1469
922,Sebastian Hansen,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=922
1094,Simon Strand,"Swedish association football player, played for AIK, Supporter, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1094
932,Elis Juhlin,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=932
941,Hannes Sigurdsson,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=941
950,Alagie Sosseh,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=950
1121,Leo Hjulström,"Swedish association football player, played for AIK, Back, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1121
958,Paulinho Guará,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=958
1130,Thomas Persson,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1130
966,Gerry Peyton,"Swedish association football player, played for AIK, Målvaktstränare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=966
1139,Christoffer Bodin,"Swedish association football player, played for AIK, AIK Media, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1139
1371,Lajos Szendrődi,"Swedish association football player, played for AIK, Tränare, active 1960-1961",Q5,https://www.aikstats.se/player.php?id=1371
983,Henrik Dunge,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=983
1155,Gustaf Eriksson,"Swedish association football player, played for AIK, Styrelsemedlem, AIK FF, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1155
1379,"Nils ""Nisse"" Andersson","Swedish association football player, played for AIK, Tränare, active 1987-1987",Q5,https://www.aikstats.se/player.php?id=1379
1001,Roger Wikström,"Swedish association football player, played for AIK, , active 2011- ?",Q5,https://www.aikstats.se/player.php?id=1001
1395,Joachim Andersson,"Swedish association football player, played for AIK, Back, active 2000- ?",Q5,https://www.aikstats.se/player.php?id=1395
1009,Göran Lööv,"Swedish association football player, played for AIK, Styrelsemedlem, active ? -2010",Q5,https://www.aikstats.se/player.php?id=1009
820,Erik Hamrén,"Swedish association football player, played for AIK, Tränare, active 1995-1997",Q5,https://www.aikstats.se/player.php?id=820
1017,Haisem Ismail,"Swedish association football player, played for AIK, Vänsterback, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1017
833,"Lars ""Lasse"" Granqvist","Swedish association football player, played for AIK, Radiopratare och AIK:are, active ? - ?",Q5,https://www.aikstats.se/player.php?id=833
1252,Sean O’Shea,"Swedish association football player, played for AIK, Assisterande tränare, active ? -2019",Q5,https://www.aikstats.se/player.php?id=1252
766,Nicklas Rönn,"Swedish association football player, played for AIK, Målvakt, active 2009-2009",Q5,https://www.aikstats.se/player.php?id=766
1432,Andreas Janmyr,"Swedish association football player, played for AIK, Assisterande tränare, active 2021-2022",Q5,https://www.aikstats.se/player.php?id=1432
1046,Aljaz Struna,"Swedish association football player, played for AIK, Yttermittfältare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1046
26,Självmål,"Swedish association football player, played for AIK, Forward, active 1891- ?",Q5,https://www.aikstats.se/player.php?id=26
858,Mats Björeskog,"Swedish association football player, played for AIK, VD, active ? - ?",Q5,https://www.aikstats.se/player.php?id=858
1515,Johan Björkegren,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1515
1056,Christian Elkhoury,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1056
