item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q12008808,Q12008808,Vajebah Sakor,https://ifkdb.se/spelare/Vajebah-Sakor_873,https://sv.wikipedia.org/wiki/Vajebah_Sakor,https://sv.wikipedia.org/wiki/Vajebah_Sakor,Vajebah Sakor,Vajebah Sakor,match,True
http://www.wikidata.org/entity/Q13569294,Q13569294,Walker Zimmerman,https://ifkdb.se/spelare/Walker-Zimmerman_888,https://sv.wikipedia.org/wiki/Walker_Zimmerman,https://sv.wikipedia.org/wiki/Walker_Zimmerman,Walker Zimmerman,Walker Zimmerman,match,True
http://www.wikidata.org/entity/Q14214676,Q14214676,Thomas Mikkelsen,https://ifkdb.se/spelare/Thomas-Mikkelsen_853,https://sv.wikipedia.org/wiki/Thomas_Mikkelsen,https://sv.wikipedia.org/wiki/Thomas_Mikkelsen,Thomas Mikkelsen,Thomas Mikkelsen,match,True
http://www.wikidata.org/entity/Q15114032,Q15114032,Gustav Engvall,https://ifkdb.se/spelare/Gustav-Engvall_774,https://sv.wikipedia.org/wiki/Gustav_Engvall,https://sv.wikipedia.org/wiki/Gustav_Engvall,Gustav Engvall,Gustav Engvall,match,True
http://www.wikidata.org/entity/Q15725960,Q15725960,Lennart Nilsson,https://ifkdb.se/spelare/Lennart-Nilsson_520,https://sv.wikipedia.org/wiki/Lennart_Nilsson_(fotbollsspelare),https://sv.wikipedia.org/wiki/Lennart_Nilsson_(fotbollsspelare),Lennart Nilsson (fotbollsspelare),Lennart Nilsson (fotbollsspelare),match,True
http://www.wikidata.org/entity/Q15734556,Q15734556,Tobias Bratt,https://ifkdb.se/spelare/Tobias-Bratt_764,https://sv.wikipedia.org/wiki/Tobias_Bratt,https://sv.wikipedia.org/wiki/Tobias_Bratt,Tobias Bratt,Tobias Bratt,match,True
http://www.wikidata.org/entity/Q15905726,Q15905726,Bror Carlsson,https://ifkdb.se/spelare/Bror-Carlsson_145,https://sv.wikipedia.org/wiki/Bror_Carlsson,https://de.wikipedia.org/wiki/Bror_Carlsson,Bror Carlsson,Bror Carlsson,match,True
http://www.wikidata.org/entity/Q722274,Q722274,Axel Alfredsson,https://ifkdb.se/spelare/Axel-Alfredsson_11,https://sv.wikipedia.org/wiki/Axel_Alfredsson,https://sv.wikipedia.org/wiki/Axel_Alfredsson,Axel Alfredsson,Axel Alfredsson,match,True
http://www.wikidata.org/entity/Q722178,Q722178,George Mourad,https://ifkdb.se/spelare/George-Mourad_807,https://sv.wikipedia.org/wiki/George_Mourad,https://sv.wikipedia.org/wiki/George_Mourad,George Mourad,George Mourad,match,True
http://www.wikidata.org/entity/Q722169,Q722169,Magnus Erlingmark,https://ifkdb.se/spelare/Magnus-Erlingmark_200,https://sv.wikipedia.org/wiki/Magnus_Erlingmark,https://sv.wikipedia.org/wiki/Magnus_Erlingmark,Magnus Erlingmark,Magnus Erlingmark,match,True
