id,name,desc
tommy-bjorkman,Tommy Björkman,"football målvakt (born 1934), Djurgårdens IF player 1965–1966"
tim-bjorkstrom,Tim Björkström,"football högerback/mittback. (born 1991), Djurgårdens IF player 2015–2016"
lasse-bjorn,Lasse Björn,"football back (born 1931), Djurgårdens IF player 1965–1966"
ragnar-ragge-blom,Ragnar Blom,"football player (born 1921), Djurgårdens IF player 1940–1941"
carl-blomgren,Carl Blomgren,football player (born 1872)
david-blomgren,David Blomgren,"football forward (born 2003), Djurgårdens IF player 2003–2022"
gustaf-blomgren,Gustaf Blomgren,football player (born 1874)
arne-blomqvist,Arne Blomqvist,"football försvarare (born 1921), Djurgårdens IF player 1949–1950"
jesper-blomqvist,Jesper Blomqvist,"football mittfältare (born 1974), Djurgårdens IF player 1974–2003"
arto-blomsten,Arto Blomsten,"football back (born 1965), Djurgårdens IF player 1991–1992"
gunnar-blomstrom,Gunnar Blomström,"football anfallare (born 1912), Djurgårdens IF player 1936–1938"
oscar-bomgren,Oscar Bomgren,football player (born 1879)
leif-boork,Leif Boork,football player (born 1949)
g-borg,G Borg,football Moderklubb: (born )
jonas-borgar,Jonas Borgar,"football forward (born 1975), Djurgårdens IF player 1975–1994"
michael-borken-borgqvist,Michael Borgqvist,"football mittfältare (born 1967), Djurgårdens IF player 1998–1999"
bengt-bornstrom,Bengt Bornström,"football forward (born 1934), Djurgårdens IF player 1934–1957"
dag-bredberg,Dag Bredberg,"football back (born 1955), Djurgårdens IF player 1981–1982"
fredrik-bremberg,Fredrik Bremberg,"football forward (born 1973), Djurgårdens IF player 1996–1997"
bernt-brick,Bernt Brick,"football högerytter (born 1926), Djurgårdens IF player 1926–1954"
martin-broberg,Martin Broberg,"football mittfältare (born 1990), Djurgårdens IF player 2013–2014"
daniel-brodin,Daniel Brodin,"football forward (born 1990), Djurgårdens IF player 2018–2022"
gosta-brostrom,Gösta Broström,"football Moderklubb: (born ), Djurgårdens IF player 1939–1941"
josse-brostrom,Jösse Broström,"football vänsterytter (born 1911), Djurgårdens IF player 1937–1938"
