id,name,desc
7,nils larsson,"football player, Örgryte IS player"
332,osborn larsson,"football player, GAIS player"
349,thomas larsson,"football player, Örgryte IS player"
12,torilld larsson,"football player, IFK Göteborg player"
43,erik levin,"football player, IFK Göteborg player"
68,helge liljebjörn,"football player, GAIS player"
3,erik liljenberg,"football player, Örgryte IS player"
118,folke lind,"football player, GAIS player"
273,gunro lindberg,"football player, IFK Göteborg player"
150,roland lindberg,"football player, Gårda BK player"
163,yngve lindegren,"football player, Örgryte IS player"
250,leif linderoth,"football player, GAIS player"
264,roland lindqvist,"football player, Örgryte IS player"
363,stefan lindqvist,"football player, IFK Göteborg player"
199,stig lindqvist,"football player, GAIS player"
94,gunnar löfgren,"football player, IFK Göteborg player"
142,stig löfgren,"football player, IFK Göteborg player"
165,rune ludvigsson,"football player, Gårda BK player"
214,arne lund,"football player, GAIS player"
29,valdus lund,"football player, IFK Göteborg player"
149,helmer lundgren,"football player, GAIS player"
13,herbert lundgren,"football player, GAIS player"
226,arne lundqvist,"football player, IFK Göteborg player"
65,evert lundqvist,"football player, Örgryte IS player"
372,thomas madsen,"football player, Örgryte IS player"
31,harry magnusson,"football player, Örgryte IS player"
129,fridolf martinsson,"football player, Örgryte IS player"
101,allan mattiasson,"football player, GAIS player"
322,bo mattsson,"football player, Örgryte IS player"
256,bror mellberg,"football player, AIK player"
359,håkan mild,"football player, IFK Göteborg player"
161,bengt mossberg,"football player, IFK Göteborg player"
287,göran nicklasson,"football player, IFK Göteborg player"
305,donald niklasson,"football player, IFK Göteborg player"
347,erik nilsson,"football player, IFK Göteborg player"
102,harry nilsson,"football player, GAIS player"
72,john nilsson,"football player, GAIS player"
253,lennart nilsson i,"football player, IFK Göteborg player"
380,lennart nilsson ii,"football player, IFK Göteborg player"
358,morgan nilsson,"football player, GAIS player"
176,ove nilsson,"football player, Örgryte IS player"
234,sixten nilsson,"football player, GAIS player"
342,torbjörn nilsson,"football player, IFK Göteborg player"
343,björn nordqvist,"football player, IFK Göteborg player"
374,roger nordstrand,"football player, Örgryte IS player"
316,jan nordström,"football player, FC Groningen player"
316,jan nordström,"football player, IFK Göteborg player"
109,per nordström,"football player, Örgryte IS player"
240,Åke norén,"football player, IFK Göteborg player"
117,arne nyberg,"football player, IFK Göteborg player"
259,yngve nykvist,"football player, GAIS player"
222,hans-eje nylander,"football player, Örgryte IS player"
85,hugo Ödvall,"football player, Örgryte IS player"
254,owe ohlsson,"football player, IFK Göteborg player"
331,reine olausson,"football player, IFK Göteborg player"
261,lars olofsson,"football player, Örgryte IS player"
195,per olofsson,"football player, Örgryte IS player"
19,albert olsson,"football player, GAIS player"
98,arvid olsson,"football player, Örgryte IS player"
159,axel olsson,"football player, IFK Göteborg player"
346,dennis olsson,"football player, Örgryte IS player"
105,gunnar olsson,"football player, GAIS player"
225,hasse olsson,"football player, GAIS player"
293,jan olsson,"football player, GAIS player"
24,karl olsson,"football player, IFK Göteborg player"
192,lars-hugo olsson,"football player, Örgryte IS player"
184,nils olsson,"football player, Örgryte IS player"
326,börje oskarsson,"football player, IFK Göteborg player"
329,dan Östlund,"football player, IFK Göteborg player"
84,ernst Östlund,"football player, IFK Göteborg player"
323,lennart ottordahl,"football player, Örgryte IS player"
323,lennart ottordahl,"football player, IFK Göteborg player"
172,ragnvald pålsson,"football player, IFK Göteborg player"
303,sten pålsson,"football player, GAIS player"
50,gunnar paulsson,"football player, GAIS player"
268,Örjan persson,"football player, Örgryte IS player"
325,sune persson,"football player, GAIS player"
307,rolf petersson,"football player, IFK Göteborg player"
368,thomas ravelli,"football player, IFK Göteborg player"
371,stefan rehn,"football player, IFK Göteborg player"
80,gunnar reis,"football player, IFK Göteborg player"
167,sixten rosenqvist,"football player, GAIS player"
75,anders rydberg,"football player, IFK Göteborg player"
8,gunnar rydberg,"football player, IFK Göteborg player"
187,ingvar rydell,"football player, Billingsfors IK player"
57,sven rydell,"football player, Örgryte IS player"
38,gustaf samuelsson,"football player, GAIS player"
279,hasse samuelsson,"football player, GAIS player"
67,herbert samuelsson,"football player, IFK Göteborg player"
297,yngve samuelsson,"football player, GAIS player"
169,carl-erik sandberg,"football player, Malmö FF player"
28,mauritz sandberg,"football player, IFK Göteborg player"
63,herbert sandström,"football player, IFK Göteborg player"
126,henry schéele,"football player, Örgryte IS player"
164,Åke schön,"football player, GAIS player"
233,vilgot schwartz,"football player, Örgryte IS player"
181,bertil sernros,"football player, GAIS player"
252,agne simonsson,"football player, Örgryte IS player"
188,andreas sjöberg,"football player, Örgryte IS player"
103,bertil sjöberg,"football player, Örgryte IS player"
203,sven sjöblom,"football player, IFK Göteborg player"
355,niclas sjöstedt,"football player, Örgryte IS player"
174,göte sjösten,"football player, GAIS player"
51,vallentin skoglund,"football player, IFK Göteborg player"
282,jens söderberg,"football player, Örgryte IS player"
158,gösta stenberg,"football player, Örgryte IS player"
137,kurt svanström,"football player, Örgryte IS player"
