id,name,desc,type,url,wikidata
320,Håkan Ask,"Swedish association football player, played for BoIS, active ?, born 1967-05-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=320&link=visa-data,
409,Jörgen Ask,"Swedish association football player, played for BoIS, active ?, born 1958-07-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=409&link=visa-data,
781,Tobias Ask,"Swedish association football player, played for BoIS, active ?, born 1986-08-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=781&link=visa-data,
349,Jan Asp,"Swedish association football player, played for BoIS, active ?, born 1944-01-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=349&link=visa-data,
3556,Jonathan Asp,"Swedish association football player, played for BoIS, active ?, born 1990-05-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3556&link=visa-data,Q5561255
275,Hans Assarsson,"Swedish association football player, played for BoIS, active ?, born 1939-05-02",Q5,https://boishistoria.se/visa-data/?what=spelare&id=275&link=visa-data,
632,Per Assarsson,"Swedish association football player, played for BoIS, active ?, born 1935-06-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=632&link=visa-data,
3455,Bahrudin Atajic,"Swedish association football player, played for BoIS, active ?, born 1993-11-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3455&link=visa-data,
104,Bo Augustsson,"Swedish association football player, played for BoIS, active ?, born 1949-12-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=104&link=visa-data,Q5562414
345,Jakob Augustsson,"Swedish association football player, played for BoIS, active ?, born 1980-10-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=345&link=visa-data,Q3806302
377,Johan Augustsson,"Swedish association football player, played for BoIS, active ?, born 1974-03-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=377&link=visa-data,
410,Jörgen Augustsson,"Swedish association football player, played for BoIS, active ?, born 1952-10-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=410&link=visa-data,Q1371164
91,Emil Aulin,"Swedish association football player, played for BoIS, active ?, born 1893-12-28",Q5,,
573,Morten Avnskjold,"Swedish association football player, played for BoIS, active ?, born 1979-08-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=573&link=visa-data,Q5562812
423,Kenneth Axelsson,"Swedish association football player, played for BoIS, active ?, born 1946-02-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=423&link=visa-data,
709,Samuel Aziz,"Swedish association football player, played for BoIS, active ?, born 1991-07-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=709&link=visa-data,Q5563300
705,Saber Azizi,"Swedish association football player, played for BoIS, active ?, born 1996-01-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=705&link=visa-data,Q27469945
132,Christer Backman,"Swedish association football player, played for BoIS, active ?, born 1949-05-27",Q5,https://boishistoria.se/visa-data/?what=spelare&id=132&link=visa-data,
232,Geronimo Balint,"Swedish association football player, played for BoIS, active ?, born 1996-09-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=232&link=visa-data,
471,Lee Baxter,"Swedish association football player, played for BoIS, active ?, born 1976-06-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=471&link=visa-data,Q128845
747,Stuart Baxter,"Swedish association football player, played for BoIS, active ?, born 1953-08-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=747&link=visa-data,Q715348
337,Ivan Bedelev,"Swedish association football player, played for BoIS, active ?, born 1961-09-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=337&link=visa-data,
457,Lars Behmer,"Swedish association football player, played for BoIS, active ?, born 1901-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=457&link=visa-data,
35,Anders Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1971-12-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=35&link=visa-data,
103,Arne Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1920-12-13",Q5,,
82,Bertil Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1928-12-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=82&link=visa-data,
105,Bertil Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1940-11-17",Q5,,
121,Carl Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1909-03-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=121&link=visa-data,
271,Göte Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1930-02-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=271&link=visa-data,
308,Henry Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1906-10-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=308&link=visa-data,
371,Joakim Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1967-02-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=371&link=visa-data,
832,Karl Bengtsson,"Swedish association football player, played for BoIS, active ?, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=832&link=visa-data,
