id,name,desc
225596367,Karl-Erik Andersson,"Karl-Erik Andersson Född: 16 januari 1927 SM-guld: 1954/55 (fotboll), 1950, 1954, 1955 (ishockey) Fotbollsspelare Position: försvarare Moderklubb: Djurgårdens IF 13 säsonger. 141 matcher. 3 mål. 1945/46 6 0 1946/47 22 0 1947/48 21 0 1948/49 – 0 1949/"
225596368,Karl-Olof Andersson,Karl-Olof Andersson Född: 12 juni 1942 Fotbollsspelare Position: anfallare Moderklubb: IK Tord 1 säsong. 4 matcher. 0 1965 4 0
225596369,"Lars (fotboll) Andersson, Lars (ishockey) Andersson, Lisa Andersson",Karl Lars Andersson (senare Widerström) Född: 30 januari 1927 Fotbollsspelare Position: högerinner Moderklubb: Gais 1 säsong. 2 matcher. 0 mål. 1950/51 2 0
225596370,Martin Andersson,Erik Martin Andersson Född: 9 maj 1982 Fotbollsspelare Position: mittback/mittfältare Moderklubb: Enköpings SK 2 säsonger. 16 matcher. 0 mål. 2008 13 0 2009 3 0
225596371,N. Andersson,N. Andersson Född: Fotbollsspelare Position: Moderklubb: 1 säsong. 0 mål. 1939/40 – 0
225596372,"Nils (fotboll, bandy) Andersson, Nils (ishockey) Andersson, Ola Andersson",Nils Åke Andersson Född: 28 augusti 1941 Fotbollsspelare Position: försvarare Moderklubb: Spånga IS 2 säsonger. 11 matcher. 0 mål. 1960 9 0 1961 2 0 Bandyspelare Position: målvakt 2 säsonger. 1962 1963
225596373,Per-Åke Andersson,Per-Åke Andersson Född: 4 juni 1939 Bandyspelare 2 säsonger. 1965 1966
225596374,Richard Andersson,Rickard Ferdinand Andersson Född: 22 juni 1897 Fotbollsspelare Position: målvakt Moderklubb: ? 1 säsong. 13 matcher. 0 mål. 1927/1928 13 0
225596375,Roland Andersson,Åke Erik Roland Andersson Född: 28 mars 1950 Fotbollsspelare Position: högerback Moderklubb: Malmö FF 2 säsonger. 45 matcher. 2 mål. 1975 23 2 1976 22 0
225596376,Rose-Marie Andersson,"Rose-Marie Linda Andersson Född: 22 mars 1973 Fotbollsspelare Position: back, mittfältare Nummer: 21, 11 Moderklubb: IFK Österåker 1989 1990 1991 1992 1996"
225596377,Rune Andersson,Rune Andersson Född: Fotbollsspelare Position: Moderklubb: 1 säsong. 4 matcher. 0 mål. 1944/45 4 0
225596378,Sebastian Andersson,Martin Sebastian Andersson Född: 15 juli 1991 Fotbollsspelare Position: anfallare Moderklubb: Vinslövs IF 2 säsonger. 35 matcher. 13 mål. 2014 13 6 2015 22 7
225596379,Sven Andersson,Sven Andersson Född: 6 november 1932 Ishockeyspelare Position: back Moderklubb: Säsonger Matcher Mål Assist Poäng 1951/52 – – – – 1952/53 – – – – 1953/54 – – – – 1954/55 – – – –
225596380,Sune Andersson,Sune Anders Andersson Född: 21 april 1898 Fotbollsspelare Position: Moderklubb: 1 säsong. 3 matcher. 1 mål. 1927/28 3 1 Ishockeyspelare Position: forward Moderklubb: Säsonger Matcher Mål Assist Poäng 1921/22 – – – – 1922/23 – – – – 1923/24 – – – – 19
225596381,Tommy Andersson,John Tommy Kenneth Andersson Född: 24 september 1952 Fotbollsspelare Position: försvarare. Moderklubb: Trollhättans IF 1 säsong. 2 matcher. 0 mål. 1972 2 0
