#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	matched_by_username	auxiliary_data	born	died	dates_in_wikidata	lat	lon	multi_match_candidates
281287996	7738	422	https://www.aikstats.se/player.php?id=422	Kurt "Kurre" Andersson	Swedish association football player, played for AIK, Högerytter, active 1957-1971	Q5	4	Q1793349	20260327210212	Auxiliary data matcher							
281287997	7738	180	https://www.aikstats.se/player.php?id=180	Rolf "Roffe Zäta" Zetterlund	Swedish association football player, played for AIK, Mittfältare, active 1972-1986	Q5	4	Q383148	20260327210212	Auxiliary data matcher							
281287998	7738	576	https://www.aikstats.se/player.php?id=576	Thomas Johansson	Swedish association football player, played for AIK, Forward, active 1981-1989	Q5	4	Q2425118	20260327210212	Auxiliary data matcher							
281287999	7738	393	https://www.aikstats.se/player.php?id=393	Ingvar "Tjotta" Olsson	Swedish association football player, played for AIK, Center, active 1951-1958	Q5	4	Q1663467	20260327210212	Auxiliary data matcher							
281288000	7738	453	https://www.aikstats.se/player.php?id=453	Roland Grip	Swedish association football player, played for AIK, Vänsterytter, active 1964-1970	Q5	4	Q1369548	20260327210212	Auxiliary data matcher							
281288001	7738	236	https://www.aikstats.se/player.php?id=236	Hugo Sjögren	Swedish association football player, played for AIK, Vänsterhalv, active 1926-1937	Q5	4	Q124497685	20260327210212	Auxiliary data matcher							
281288002	7738	460	https://www.aikstats.se/player.php?id=460	Roland "Rimbo" Lundblad	Swedish association football player, played for AIK, Forward, active 1966-1970	Q5											
281288003	7738	438	https://www.aikstats.se/player.php?id=438	Kjell Pettersson	Swedish association football player, played for AIK, Ytterhalv, active 1954-1966	Q5											1744055,6419330
281288004	7738	302	https://www.aikstats.se/player.php?id=302	Åke "Carnera" Andersson	Swedish association football player, played for AIK, Yttermittfältare, active 1939-1946	Q5	4	Q270868	20260327210213	Auxiliary data matcher							
281288005	7738	426	https://www.aikstats.se/player.php?id=426	Inge Bengtsson	Swedish association football player, played for AIK, Vänsterytter, active 1958-1965	Q5	4	Q1662749	20260327210213	Auxiliary data matcher							
281288006	7738	18	https://www.aikstats.se/player.php?id=18	Robert "RÅP, Robban" Åhman Persson	Swedish association football player, played for AIK, Mittfältare, active 2003-2013	Q5	4	Q1357430	20260327210213	Auxiliary data matcher							
281288007	7738	204	https://www.aikstats.se/player.php?id=204	Sanny Åslund	Swedish association football player, played for AIK, Forward, active 1973-2004	Q5	4	Q1350942	20260327210213	Auxiliary data matcher							
281288008	7738	228	https://www.aikstats.se/player.php?id=228	Nils "Gävle" Nilsson	Swedish association football player, played for AIK, Vänsterhalv, active 1925-1932	Q5	4	Q124504856	20260327210213	Auxiliary data matcher							
281288009	7738	199	https://www.aikstats.se/player.php?id=199	Mats Rohdin	Swedish association football player, played for AIK, Back, active 1985-1991	Q5	4	Q1909053	20260327210213	Auxiliary data matcher							
281288010	7738	211	https://www.aikstats.se/player.php?id=211	Justus Gustafsson	Swedish association football player, played for AIK, Vänsterback, active 1917-1930	Q5	4	Q124623802	20260327210213	Auxiliary data matcher							
281288011	7738	362	https://www.aikstats.se/player.php?id=362	Bertil Bäckvall	Swedish association football player, played for AIK, Vänsterytter, active 1943-1953	Q5	4	Q828216	20260327210213	Auxiliary data matcher							
281288012	7738	256	https://www.aikstats.se/player.php?id=256	Eiwar Widlund	Swedish association football player, played for AIK, Målvakt, active 1928-1936	Q5	355014	Q1321444	20260327214250	Salgo60							
281288013	7738	17	https://www.aikstats.se/player.php?id=17	Markus "Mr 100%" Jonsson	Swedish association football player, played for AIK, Högerback, active 2006-2009	Q5	4	Q947827	20260327210213	Auxiliary data matcher							
281288014	7738	404	https://www.aikstats.se/player.php?id=404	Bruno "Älgen" Nyberg	Swedish association football player, played for AIK, Vänsterback, active 1953-1961	Q5	4	Q125553253	20260327210213	Auxiliary data matcher							
281288015	7738	853	https://www.aikstats.se/player.php?id=853	Daniel Sundgren	Swedish association football player, played for AIK, Mittfältare, active 2016-2019	Q5	4	Q23916147	20260327210213	Auxiliary data matcher							
281288016	7738	177	https://www.aikstats.se/player.php?id=177	Börje Marcus	Swedish association football player, played for AIK, Mittback, active 1971-1975	Q5											
281288017	7738	294	https://www.aikstats.se/player.php?id=294	Arthur Svensson	Swedish association football player, played for AIK, Vänsterhalv, active 1937-1943	Q5	4	Q711644	20260327210213	Auxiliary data matcher							
281288018	7738	368	https://www.aikstats.se/player.php?id=368	Ivan "Bodde" Bodin	Swedish association football player, played for AIK, Center, active 1948-1955	Q5	4	Q1675514	20260327210213	Auxiliary data matcher							
281288019	7738	60	https://www.aikstats.se/player.php?id=60	Benjamin "Kibbe" Kibebe	Swedish association football player, played for AIK, Back, active 1999-2005	Q5	4	Q723385	20260327210213	Auxiliary data matcher							
281288020	7738	581	https://www.aikstats.se/player.php?id=581	Lars "Larsa, Z" Zetterlund	Swedish association football player, played for AIK, Mittfältare, active 1982-1986	Q5	4	Q1806367	20260327210213	Auxiliary data matcher							
281288021	7738	1216	https://www.aikstats.se/player.php?id=1216	Nicolás Stefanelli	Swedish association football player, played for AIK, Forward, active 2017-2023	Q5	4	Q25407676	20260327210213	Auxiliary data matcher							
281288022	7738	330	https://www.aikstats.se/player.php?id=330	Harry "Hajjak" Johansson	Swedish association football player, played for AIK, Vänsterhalv, active 1942-1951	Q5	4	Q131315162	20260327210213	Auxiliary data matcher							
281288023	7738	1184	https://www.aikstats.se/player.php?id=1184	Oscar Linnér	Swedish association football player, played for AIK, Målvakt, active 2016-2020	Q5	4	Q20744987	20260327210213	Auxiliary data matcher							
281288024	7738	178	https://www.aikstats.se/player.php?id=178	Jörgen Bengtsson	Swedish association football player, played for AIK, Forward, active 1960-1973	Q5	4	Q1715595	20260327210213	Auxiliary data matcher							
281288025	7738	191	https://www.aikstats.se/player.php?id=191	Vadim "Vadde" Jevtushenko	Swedish association football player, played for AIK, Mittfältare, active 1989-1993	Q5	26041	Q948046	20260328134542	Jssfrk							
281288026	7738	792	https://www.aikstats.se/player.php?id=792	Sotirios "Sotte" Papagiannopoulos	Swedish association football player, played for AIK, Back, active 1999-2011	Q5	4	Q15980984	20260327210213	Auxiliary data matcher							
281288027	7738	638	https://www.aikstats.se/player.php?id=638	Tomas "Tobbe" Gustafsson	Swedish association football player, played for AIK, Vänsterback, active 1997-1999	Q5											
281288028	7738	28	https://www.aikstats.se/player.php?id=28	Andreas "Adde" Andersson	Swedish association football player, played for AIK, Forward, active 1999-2006	Q5	4	Q495810	20260327210213	Auxiliary data matcher							
281288029	7738	1209	https://www.aikstats.se/player.php?id=1209	Enoch Kofi Adu	Swedish association football player, played for AIK, Mittfältare, active 2017-2021	Q5	4	Q3054508	20260327210213	Auxiliary data matcher							
281288030	7738	3	https://www.aikstats.se/player.php?id=3	Niklas "Nirre" Sandberg	Swedish association football player, played for AIK, Innerback, active 1996-2007	Q5	4	Q1378031	20260327210213	Auxiliary data matcher							
281288031	7738	175	https://www.aikstats.se/player.php?id=175	Olavus "Olka" Olsson	Swedish association football player, played for AIK, Innerback, active 1967-1989	Q5	4	Q59988152	20260327210213	Auxiliary data matcher							
281288032	7738	454	https://www.aikstats.se/player.php?id=454	Bo "Bosse" Holmberg	Swedish association football player, played for AIK, Forward, active 1957-1970	Q5											
281288033	7738	525	https://www.aikstats.se/player.php?id=525	Leif "Leffe" Karlsson	Swedish association football player, played for AIK, Målvakt, active 1964-1980	Q5											
281288034	7738	431	https://www.aikstats.se/player.php?id=431	Lennart "Liston" Söderberg	Swedish association football player, played for AIK, Högerback, active 1950-1970	Q5	4	Q1817990	20260327210213	Auxiliary data matcher							
281288035	7738	942	https://www.aikstats.se/player.php?id=942	Helgi Daníelsson	Swedish association football player, played for AIK, Mittfältare, active 2010-2013	Q5	4	Q973725	20260327210213	Auxiliary data matcher							
281288036	7738	588	https://www.aikstats.se/player.php?id=588	Thomas Lundmark	Swedish association football player, played for AIK, Mittfältare, active 1985-1988	Q5	4	Q19663270	20260327210213	Auxiliary data matcher							
281288037	7738	538	https://www.aikstats.se/player.php?id=538	Claes Marklund	Swedish association football player, played for AIK, Vänsterback, active 1969-1979	Q5	4	Q1094670	20260327210213	Auxiliary data matcher							
281288038	7738	1303	https://www.aikstats.se/player.php?id=1303	Erick Otieno	Swedish association football player, played for AIK, Vänsterback, active 2020- ?	Q5	4	Q26252927	20260327210213	Auxiliary data matcher							
281288039	7738	614	https://www.aikstats.se/player.php?id=614	Michael "Borken" Borgqvist	Swedish association football player, played for AIK, Mittfältare, active 1983-1995	Q5	4	Q1563913	20260327210213	Auxiliary data matcher							
281288040	7738	181	https://www.aikstats.se/player.php?id=181	Dag Szepanski	Swedish association football player, played for AIK, Forward, active 1970-1973	Q5	4	Q348606	20260327210214	Auxiliary data matcher							
281288041	7738	1075	https://www.aikstats.se/player.php?id=1075	Celso Borges	Swedish association football player, played for AIK, Mittfältare, active 2012-2015	Q5	4	Q2208497	20260327210214	Auxiliary data matcher							
